,precision,recall,f1-score,support
Bacterialleafblight,0.26262626262626265,0.3611111111111111,0.30409356725146197,72.0
Bacterialleafstreak,0.6129032258064516,0.6666666666666666,0.6386554621848739,57.0
Bacterialpanicleblight,0.6851851851851852,0.74,0.7115384615384616,50.0
Blast,0.8901098901098901,0.3103448275862069,0.4602272727272727,261.0
Brownspot,0.4375,0.6275862068965518,0.5155807365439093,145.0
Deadheart,0.7300380228136882,0.8847926267281107,0.8,217.0
Downymildew,0.39215686274509803,0.43010752688172044,0.41025641025641024,93.0
Hispa,0.547085201793722,0.5104602510460251,0.5281385281385281,239.0
Normal,0.6329479768786127,0.8264150943396227,0.7168576104746317,265.0
Tungro,0.543859649122807,0.3803680981595092,0.44765342960288806,163.0
accuracy,0.5813060179257362,0.5813060179257362,0.5813060179257362,0.5813060179257362
macro avg,0.5734412277081717,0.5737852409415524,0.5533001478718438,1562.0
weighted avg,0.618362710917038,0.5813060179257362,0.5695693190936323,1562.0
