,precision,recall,f1-score,support
Bacterial Leaf Blight,0.33587786259541985,0.6111111111111112,0.43349753694581283,72.0
Bacterial Leaf Streak,0.5052631578947369,0.8421052631578947,0.631578947368421,57.0
Bacterial Panicle Blight,0.5974025974025974,0.92,0.7244094488188977,50.0
Blast,0.6733870967741935,0.6398467432950191,0.656188605108055,261.0
Brown Spot,0.631578947368421,0.41379310344827586,0.5,145.0
Dead Heart,0.8111111111111111,0.6728110599078341,0.7355163727959698,217.0
Downy Mildew,0.4233128834355828,0.7419354838709677,0.5390625,93.0
Hispa,0.7672413793103449,0.3723849372384937,0.5014084507042254,239.0
Normal,0.7421602787456446,0.8037735849056604,0.7717391304347826,265.0
Tungro,0.5941176470588235,0.6196319018404908,0.6066066066066066,163.0
accuracy,0.6293213828425096,0.6293213828425096,0.6293213828425096,0.6293213828425096
macro avg,0.6081452961696875,0.6637393188775749,0.6100007598782771,1562.0
weighted avg,0.667381475587364,0.6293213828425096,0.6275043230418537,1562.0
