image_id,image_path,label,true_target,predicted_target,predicted_label,confidence,correct_prediction
106035.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\normal\106035.jpg,normal,8,7,hispa,0.99702865,False
101921.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\101921.jpg,hispa,7,8,normal,0.987094,False
100103.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\100103.jpg,hispa,7,0,bacterial_leaf_blight,0.98642576,False
100721.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\100721.jpg,hispa,7,0,bacterial_leaf_blight,0.98635405,False
108045.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\normal\108045.jpg,normal,8,7,hispa,0.9795323,False
102658.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\brown_spot\102658.jpg,brown_spot,4,9,tungro,0.96790665,False
108502.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\brown_spot\108502.jpg,brown_spot,4,3,blast,0.95482737,False
101867.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\tungro\101867.jpg,tungro,9,6,downy_mildew,0.9442613,False
106770.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\blast\106770.jpg,blast,3,9,tungro,0.9316368,False
101847.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\tungro\101847.jpg,tungro,9,6,downy_mildew,0.91624135,False
105388.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\105388.jpg,hispa,7,9,tungro,0.9156099,False
101603.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\101603.jpg,hispa,7,8,normal,0.91552573,False
104502.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\dead_heart\104502.jpg,dead_heart,5,9,tungro,0.9051203,False
103178.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\blast\103178.jpg,blast,3,6,downy_mildew,0.9007581,False
101660.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\downy_mildew\101660.jpg,downy_mildew,6,0,bacterial_leaf_blight,0.89681554,False
104871.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\tungro\104871.jpg,tungro,9,1,bacterial_leaf_streak,0.8918046,False
100771.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\100771.jpg,hispa,7,8,normal,0.89125216,False
100577.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\tungro\100577.jpg,tungro,9,0,bacterial_leaf_blight,0.88965803,False
106093.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\normal\106093.jpg,normal,8,0,bacterial_leaf_blight,0.88722605,False
108801.jpg,C:\Projects\16_Rice_Guard\data\raw\train_images\hispa\108801.jpg,hispa,7,0,bacterial_leaf_blight,0.8839119,False
