true_class,predicted_class,confusion_count
blast,tungro,26
hispa,bacterial_leaf_blight,22
hispa,normal,20
normal,hispa,14
tungro,hispa,11
blast,normal,10
hispa,downy_mildew,10
brown_spot,tungro,10
brown_spot,hispa,10
brown_spot,bacterial_leaf_blight,10
hispa,tungro,9
dead_heart,bacterial_leaf_blight,9
tungro,bacterial_leaf_blight,8
blast,bacterial_leaf_blight,8
downy_mildew,bacterial_leaf_blight,8
brown_spot,blast,8
brown_spot,downy_mildew,8
blast,hispa,7
blast,brown_spot,7
tungro,normal,6
tungro,downy_mildew,6
hispa,blast,6
blast,bacterial_leaf_streak,6
normal,dead_heart,6
blast,downy_mildew,5
dead_heart,normal,5
hispa,brown_spot,5
normal,tungro,4
bacterial_leaf_streak,brown_spot,4
bacterial_panicle_blight,dead_heart,4
tungro,bacterial_leaf_streak,4
dead_heart,hispa,4
normal,brown_spot,3
bacterial_leaf_blight,bacterial_leaf_streak,3
hispa,dead_heart,3
dead_heart,bacterial_panicle_blight,3
bacterial_leaf_blight,tungro,3
dead_heart,tungro,3
downy_mildew,normal,3
normal,blast,2
bacterial_leaf_blight,blast,2
downy_mildew,blast,2
normal,bacterial_leaf_blight,2
normal,downy_mildew,2
tungro,brown_spot,2
bacterial_leaf_blight,hispa,2
blast,dead_heart,2
bacterial_leaf_blight,normal,2
brown_spot,normal,2
downy_mildew,hispa,2
downy_mildew,brown_spot,2
bacterial_leaf_blight,bacterial_panicle_blight,1
dead_heart,blast,1
dead_heart,downy_mildew,1
brown_spot,bacterial_panicle_blight,1
brown_spot,bacterial_leaf_streak,1
bacterial_panicle_blight,bacterial_leaf_blight,1
blast,bacterial_panicle_blight,1
bacterial_panicle_blight,tungro,1
bacterial_panicle_blight,normal,1
bacterial_leaf_streak,dead_heart,1
dead_heart,bacterial_leaf_streak,1
downy_mildew,dead_heart,1
normal,bacterial_panicle_blight,1
normal,bacterial_leaf_streak,1
tungro,blast,1
tungro,dead_heart,1
