,precision,recall,f1-score,support
Bacterial Leaf Blight,0.4645669291338583,0.8194444444444444,0.592964824120603,72.0
Bacterial Leaf Streak,0.7647058823529411,0.9122807017543859,0.832,57.0
Bacterial Panicle Blight,0.86,0.86,0.86,50.0
Blast,0.8957345971563981,0.7241379310344828,0.8008474576271186,261.0
Brown Spot,0.8050847457627118,0.6551724137931034,0.7224334600760456,145.0
Dead Heart,0.9134615384615384,0.8755760368663594,0.8941176470588236,217.0
Downy Mildew,0.7009345794392523,0.8064516129032258,0.75,93.0
Hispa,0.7663551401869159,0.6861924686192469,0.7240618101545254,239.0
Normal,0.8243727598566308,0.8679245283018868,0.8455882352941176,265.0
Tungro,0.6888888888888889,0.7607361963190185,0.7230320699708455,163.0
accuracy,0.7816901408450704,0.7816901408450704,0.7816901408450704,0.7816901408450704
macro avg,0.7684105061239136,0.7967916334036154,0.774504550430208,1562.0
weighted avg,0.7988960887802443,0.7816901408450704,0.7846676807204055,1562.0
