epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,1.7301990180012945,1.4628145613783372,0.39813289401427787,0.4951953875720692
2,1.3377286883777868,1.2210835810275813,0.5410488742449203,0.5534913516976298
3,1.1657641810548627,1.0036478894097465,0.599395936298737,0.6649583600256246
4,1.0603179439354047,0.8877433735082578,0.6345414607358594,0.675208199871877
5,0.9524061084120958,0.797036847420643,0.664881933003844,0.7181294042280589
6,0.9006730262098045,0.7753790584533051,0.6824546952224053,0.7463164638052531
7,0.8364096143493149,0.760946697145605,0.7030477759472817,0.7565663036515055
8,0.7651678222604403,0.6981656747624937,0.7248764415156508,0.769378603459321
9,0.7665081256565845,0.704340589611596,0.7310543657331137,0.7642536835361947
10,0.7039490607267942,0.6372783995071792,0.7504118616144976,0.7783472133247918
